Firstname,Firstname,Lastname,Lastname,email,username,password,role,groups,assigned_state
SMITH,Smith,COLLINS,Collins,smith.collins@company.com,smith.collins,COLL@123,org_admin,"Basemaps, Central Services",KS
JOHNSON,Johnson,STEWART,Stewart,johnson.stewart@company.com,johnson.stewart,STEW@123,org_admin,"Basemaps, Central Services",NV
WILLIAMS,Williams,SANCHEZ,Sanchez,williams.sanchez@company.com,williams.sanchez,SANC@123,org_admin,"Basemaps, Central Services",IN
JONES,Jones,MORRIS,Morris,jones.morris@company.com,jones.morris,MORR@123,org_admin,"Basemaps, Central Services",NC
BROWN,Brown,ROGERS,Rogers,brown.rogers@company.com,brown.rogers,ROGE@123,org_admin,"Basemaps, Central Services",AR
DAVIS,Davis,REED,Reed,davis.reed@company.com,davis.reed,REED@123,org_admin,"Basemaps, Central Services",FL
MILLER,Miller,COOK,Cook,miller.cook@company.com,miller.cook,COOK@123,org_admin,"Basemaps, Compliance, Central Services",NH
WILSON,Wilson,MORGAN,Morgan,wilson.morgan@company.com,wilson.morgan,MORG@123,org_admin,"Basemaps, Compliance, Central Services",ID
MOORE,Moore,BELL,Bell,moore.bell@company.com,moore.bell,BELL@123,org_admin,"Basemaps, Compliance, Central Services",AZ
TAYLOR,Taylor,MURPHY,Murphy,taylor.murphy@company.com,taylor.murphy,MURP@123,org_publisher,"Basemaps, Compliance, Central Services",LA
ANDERSON,Anderson,BAILEY,Bailey,anderson.bailey@company.com,anderson.bailey,BAIL@123,org_publisher,"Basemaps, Compliance, Central Services",NY
THOMAS,Thomas,RIVERA,Rivera,thomas.rivera@company.com,thomas.rivera,RIVE@123,org_publisher,"Basemaps, Compliance, Central Services",MS
JACKSON,Jackson,COOPER,Cooper,jackson.cooper@company.com,jackson.cooper,COOP@123,org_publisher,"Basemaps, Compliance, Central Services",WI
WHITE,White,RICHARDSON,Richardson,white.richardson@company.com,white.richardson,RICH@123,org_publisher,"Basemaps, Compliance",WA
HARRIS,Harris,COX,Cox,harris.cox@company.com,harris.cox,COX@123,org_publisher,"Basemaps, Compliance",MI
MARTIN,Martin,HOWARD,Howard,martin.howard@company.com,martin.howard,HOWA@123,org_publisher,"Basemaps, Compliance",VA
THOMPSON,Thompson,WARD,Ward,thompson.ward@company.com,thompson.ward,WARD@123,org_publisher,"Basemaps, Compliance",TX
